Country,Total Cases,Total Death,Total Recovered,Active Cases,Serious Cases,Total Tests
USA,25702125,429490,15409639,9862996,26540,2999081567
INDIA,10668674,153508,10330084,185082,8944,192337117
BRAZIL,8844600,217081,7653770,973749,8318,28600000
RUSSIA,3719400,69462,3131760,518178,2300,9930000
UK,3647463,97939,1631400,1918124,4076,67231066
FRANCE,3053617,73049,216965,2763603,2965,41889101
SPAIN,2603472,55441,0,0,3908,30165217
ITALY,2466813,85461,1882074,499278,2400,30934035
TURKEY,2429605,25073,2307721,96811,1905,28497084
GERMANY,2147740,52777,1823500,271463,4787,37449922
COLOMBIA,2015485,51374,1832168,131943,3482,96273337
ARGENTINA,1867223,46827,1656149,164247,3619,5882914
MEXICO,1763219,149614,1320446,293157,5652,44.26586
POLAND,1475445,35363,1230446,209636,1482,8328586
SOUTH AFRICA,1412986,40874,1230520,141592,546,7993126
